Open,High,Low,Close,Volume
27.61,27.93,27.2,27.63,2695901
27.57,27.92,27.37,27.79,2476714
27.74,28.02,27.53,27.87,2629445
27.75,28.17,27.7,27.98,2413417
27.78,28.17,27.76,28.04,3733203
28.13,28.34,27.81,27.98,2558192
27.79,27.85,27.22,27.74,2836602
27.81,28.22,27.72,28.13,2481536
28.06,29.88,27.97,29.69,6727791
29.68,29.68,29.04,29.3,4588823
29.41,29.53,29.14,29.5,2460611
29.32,29.38,28.67,28.79,3349983
28.93,29.37,28.12,28.13,4130326
28.12,28.25,27.4,27.45,3132539
27.73,27.89,27.32,27.51,1868251
27.39,27.74,27.12,27.14,3848849
27.12,27.22,26.3,26.88,3666966
27.05,27.23,26.32,26.67,2684197
26.78,27.13,26.14,26.23,4771811
26.39,26.63,26.34,26.56,2628806
26.69,27.0,26.59,26.8,3690721
26.69,26.71,26.38,26.51,3794452
26.7,27.2,25.74,25.74,6065720
25.78,26.22,25.63,26.2,7432044
26.23,26.44,25.83,25.95,3008148
26.37,26.45,25.99,26.12,4293118
26.28,26.78,26.23,26.4,5498726
26.39,26.75,25.92,26.66,4958441
26.81,26.99,26.26,26.84,4123676
27.13,27.27,26.7,27.12,5576102
27.07,27.32,26.93,27.09,4329673
26.82,27.1,26.75,27.05,2902910
26.87,27.33,26.86,27.26,3079321
27.27,27.5,27.16,27.36,4153711
27.32,27.42,26.82,27.07,3133796
27.2,27.28,26.97,27.26,2964160
27.02,27.03,26.64,27.0,3571704
27.0,27.24,26.72,27.11,2708511
27.23,27.49,27.06,27.22,2554729
27.46,27.5,26.81,26.87,3912148
27.01,27.06,26.52,26.72,4174598
26.7,27.02,26.57,26.99,3823410
27.1,28.02,27.04,27.87,5562989
27.96,27.96,27.57,27.9,2816878
27.85,28.34,27.49,28.1,4816314
28.08,28.19,27.69,28.1,3416442
27.94,28.35,27.75,28.33,3674357
28.39,28.8,28.28,28.7,4614432
28.66,28.69,28.24,28.62,2472253
28.62,28.8,28.42,28.8,2871472
28.76,28.89,28.5,28.72,2863778
28.76,28.88,28.48,28.74,2727409
29.12,29.46,28.94,29.06,3619953
28.71,29.75,28.71,29.55,3927549
29.62,29.85,29.43,29.75,4707840
29.61,29.77,29.41,29.67,3825804
30.35,30.83,30.1,30.15,17339214
30.28,31.24,30.2,31.09,8003676
31.14,31.46,31.03,31.28,5516087
31.28,31.98,31.22,31.78,5630453
31.61,31.92,31.45,31.52,3924749
32.1,32.76,32.1,32.44,3615945
32.23,32.8,32.18,32.7,3394820
32.71,32.91,32.13,32.35,11143775
32.29,32.97,32.05,32.86,10011007
32.93,33.1,32.58,33.1,3175655
33.09,33.27,32.72,32.98,2878733
32.97,33.51,32.82,33.36,3668270
33.54,33.96,33.39,33.91,3607631
33.77,34.37,33.74,34.03,4198851
33.9,34.2,33.5,33.88,6908856
33.66,34.04,33.2,33.88,4555079
34.06,34.43,33.91,34.18,5209731
34.16,34.72,34.07,34.67,5137605
34.75,37.03,34.39,36.82,10503392
36.99,37.59,36.61,37.57,7110645
37.48,38.08,37.37,37.38,6470913
37.25,37.36,36.0,36.05,9016347
36.21,36.33,35.31,35.89,6851158
36.36,38.15,36.3,37.67,5911156
37.74,37.77,36.68,36.76,5093069
37.02,37.72,36.84,37.68,2999229
37.19,37.19,36.0,36.16,4517306
35.66,36.29,34.95,35.26,4825635
35.12,35.88,32.05,34.3,7057102
34.03,34.33,32.47,33.34,6968221
34.99,35.99,34.96,35.8,5763763
35.06,36.14,34.64,35.6,4226243
35.68,36.73,35.6,36.71,3442790
36.57,37.12,35.9,36.03,3706121
35.73,35.76,34.24,34.61,4399563
34.68,35.31,33.93,34.93,4611460
35.37,35.89,34.17,34.3,3803040
34.06,34.51,32.65,33.69,5396612
32.68,33.33,32.19,32.24,7951957
31.6,33.04,31.28,32.94,5556051
32.62,33.15,32.24,32.27,3243116
31.23,32.34,30.88,32.25,9030213
32.67,33.36,32.16,32.28,5448874
33.01,34.04,32.84,34.02,2997986
34.0,34.23,33.07,33.45,3302808
32.99,33.62,32.8,32.88,3635417
32.93,33.5,32.45,33.5,3861288
33.57,34.46,33.53,34.37,4738978
33.27,33.48,31.86,32.18,5047972
32.22,32.53,31.02,31.09,5439539
31.07,32.23,30.44,32.14,6453535
32.34,33.67,32.28,32.51,5977171
32.74,33.6,32.73,33.41,4502050
32.92,33.34,32.59,33.32,2708759
33.59,34.52,33.51,33.97,5762440
34.39,35.2,34.21,35.15,4266722
34.88,35.62,34.88,35.32,5008743
35.32,35.46,34.73,35.24,4827403
35.38,35.83,35.09,35.3,5054535
35.89,36.39,34.95,35.25,4289165
35.13,35.38,33.92,34.07,5077594
34.11,34.34,33.28,33.72,4610210
33.61,33.91,32.54,32.66,5308523
32.68,32.86,31.86,32.71,10441570
32.91,33.15,32.18,32.22,3078631
31.51,31.74,30.43,30.64,5303561
30.64,31.23,29.88,29.94,4727954
29.91,30.35,29.1,30.12,6560171
30.33,30.54,29.33,29.55,4101917
29.97,30.34,28.94,29.25,4693911
29.28,30.77,29.28,30.75,4344299
31.09,31.14,30.19,30.68,4516993
30.75,31.3,30.68,31.14,2644224
30.56,31.34,30.56,30.97,4794663
31.34,32.22,31.31,31.87,4599106
31.79,32.42,31.58,32.16,6579765
32.03,32.19,31.08,31.66,7148463
31.4,31.6,30.22,30.31,5568447
30.43,30.96,30.05,30.94,4773630
30.31,31.62,30.31,31.55,4076433
31.77,31.77,30.52,30.76,3744214
31.22,32.27,31.22,32.04,3759480
32.03,33.15,31.72,33.14,4705641
33.2,34.06,32.91,33.87,4250194
34.0,34.0,33.24,33.58,4075092
33.61,34.13,33.35,33.67,3928766
33.86,34.2,33.35,33.76,3903763
33.26,34.03,33.06,33.91,4305926
34.54,35.41,34.33,35.32,4656654
35.27,35.46,34.48,34.95,4831996
35.12,35.72,34.87,35.64,3008312
35.26,35.7,35.13,35.35,2732307
34.94,35.19,34.39,35.18,3140602
35.39,35.7,35.25,35.64,1800348
35.0,35.18,34.45,34.83,3060000
34.1,34.13,33.35,33.56,3311211
32.9,33.93,32.79,33.61,3806980
33.4,33.93,33.28,33.48,2623684
33.16,33.9,33.05,33.79,2285519
34.17,35.19,33.96,34.68,3362397
34.6,35.07,34.2,34.7,2515225
34.48,34.64,33.19,33.57,3680040
33.28,33.65,32.78,33.57,3145277
33.84,33.88,33.08,33.14,1984577
32.53,32.62,31.64,32.01,4512691
31.84,32.28,31.46,32.16,4261308
32.26,33.0,31.79,31.92,3665950
32.11,32.94,31.25,32.7,4720172
32.65,32.65,31.66,31.66,2449538
31.53,32.32,31.33,32.02,3958459
32.51,33.65,32.39,33.6,3694144
33.49,34.76,33.49,34.71,3879364
35.12,35.58,34.83,35.35,3268917
35.07,35.15,34.65,34.78,2962023
34.74,35.41,34.74,35.27,2949040
35.75,36.02,35.36,35.51,2970720
35.59,35.99,35.36,35.51,2377197
35.93,36.25,35.78,36.18,2759698
36.06,36.69,35.77,36.2,3969852
35.97,36.07,35.58,35.94,3222476
35.76,35.96,35.26,35.3,3939272
35.43,36.01,35.21,35.62,7707650
35.8,36.72,35.7,36.4,3611737
36.4,36.54,35.9,36.06,3793148
36.0,36.29,35.2,35.25,4822082
34.88,35.34,34.51,34.58,3164408
35.28,36.41,35.23,36.22,4077945
36.29,36.29,35.84,35.92,2930922
35.98,36.41,35.11,36.31,3627903
36.13,36.31,35.69,35.87,2170832
36.09,36.66,35.5,35.83,2759912
36.15,36.33,35.71,36.28,3074668
36.12,36.7,35.98,36.7,4400105
36.93,37.87,36.81,37.81,5751950
37.9,37.91,37.22,37.86,6171209
36.14,37.02,35.13,35.67,12500548
35.7,36.4,35.62,36.17,5386379
36.14,36.21,35.4,35.67,3244909
35.43,35.94,35.12,35.76,3352269
36.13,36.2,35.68,36.0,5659576
35.86,36.22,35.63,35.93,5191913
36.23,36.25,35.45,35.6,5530607
35.59,35.71,35.27,35.49,3172512
35.12,35.68,34.8,35.03,3796552
35.13,36.5,35.08,36.03,4092721
36.14,36.6,35.84,36.23,4581116
