Open,High,Low,Close,Volume
112.37,113.39,111.51,113.33,118944541
113.26,113.68,112.85,113.63,111579866
113.52,113.99,113.43,113.71,116074402
113.5,114.33,113.18,114.19,131091048
113.89,114.62,113.66,114.57,126402764
115.08,115.13,114.24,114.73,106375678
113.97,114.21,113.22,113.66,163333432
113.95,114.94,113.37,114.62,161821927
114.49,115.14,114.42,114.93,115783759
,,,113.64,0
113.62,115.13,113.59,115.06,139172635
114.28,114.45,112.98,113.89,216490121
113.92,114.27,111.56,111.7,344859506
111.2,111.74,109.09,109.21,345942402
110.21,110.41,109.41,109.77,186937468
109.34,110.47,109.04,109.31,211168719
109.17,110.08,108.33,109.83,271863580
110.19,110.25,107.91,108.57,316103993
109.04,109.8,107.22,107.39,310677592
108.15,109.07,107.5,109.06,187864905
109.26,110.59,108.88,110.38,216327851
109.88,110.48,109.51,109.83,172730603
108.98,109.03,106.42,106.44,356715612
106.56,106.88,104.58,106.66,493585758
106.74,107.33,105.81,105.89,224166833
107.13,108.15,106.27,107.22,337820408
107.05,107.6,106.11,107.01,240511495
106.87,108.25,106.25,108.13,223591548
,,,108.04,0
108.86,109.85,107.82,109.74,159317418
110.27,110.41,109.74,110.26,168845041
110.08,111.14,110.04,110.91,193708529
110.62,111.57,110.36,111.14,222684816
111.55,111.58,110.83,111.16,132346808
110.86,111.2,109.52,109.81,207496924
110.14,111.0,109.86,110.82,176350611
109.24,110.75,108.94,110.67,259634682
110.77,111.12,110.11,110.74,173589231
111.2,112.0,111.17,111.89,147709644
112.37,112.74,112.0,112.2,160992382
112.49,112.97,112.02,112.3,150784940
112.45,112.8,112.03,112.64,135770353
113.37,114.34,113.1,114.25,176118769
114.26,114.52,114.07,114.27,114631139
113.93,114.99,113.87,114.46,154556674
114.51,115.28,114.41,114.97,186088798
114.7,115.48,114.35,115.45,160875844
115.95,115.97,115.14,115.46,162074761
115.26,115.58,114.6,115.49,146816801
115.81,116.52,115.49,116.41,168672990
116.76,117.48,116.42,117.1,177468085
117.11,117.27,116.57,117.04,196509041
116.96,117.29,115.52,115.97,226641098
115.31,116.8,115.24,116.59,184477713
116.76,117.51,116.38,117.41,182941554
116.97,117.43,115.58,116.84,196183319
117.63,118.17,116.51,116.65,223396257
116.87,117.42,116.12,116.58,205808499
117.17,117.53,116.69,117.32,134513501
117.46,117.83,116.91,117.4,145772406
116.95,117.52,116.61,117.0,161078665
,,,117.8,0
118.25,118.84,117.92,118.76,105847602
118.42,119.25,118.29,119.04,110384143
118.8,119.36,117.81,118.36,184576297
117.95,118.97,117.6,118.77,158703990
119.02,119.6,118.8,119.55,133006493
119.7,120.05,119.56,119.74,110278931
119.62,120.04,119.0,119.83,125125040
120.27,121.19,120.08,121.19,161608989
120.99,121.57,120.95,121.29,144615226
120.86,121.28,118.75,119.36,366879697
119.01,119.93,118.47,119.81,217947757
120.56,120.98,119.87,120.88,157707939
120.95,121.23,119.99,120.66,192910086
119.81,121.17,119.12,121.02,239188584
120.94,121.86,120.63,121.81,177335420
121.85,122.12,121.23,121.35,143457213
120.65,121.33,118.25,118.48,355853771
119.05,119.68,118.27,119.38,300677608
120.1,121.11,120.07,120.86,193774904
120.88,121.01,118.78,118.81,270000858
119.38,120.68,119.2,120.35,182747817
119.01,119.03,116.92,117.52,360353366
116.56,117.8,115.97,116.82,328973162
116.26,117.0,105.0,112.94,647356524
112.64,113.77,109.41,111.26,637558734
115.81,116.65,114.91,116.16,396159543
115.07,117.36,114.91,115.83,317849705
116.29,117.62,116.09,117.45,235607027
117.13,117.68,115.89,115.99,234456089
115.12,115.33,112.87,113.89,345602060
114.2,114.52,111.77,113.95,325943991
114.88,115.22,112.03,112.4,360595878
111.77,112.77,110.36,111.76,394759527
109.38,109.89,107.47,107.54,530423626
105.91,109.38,105.36,109.12,500909335
108.52,109.39,107.61,107.71,269822997
105.11,107.87,104.38,107.82,396505132
108.48,109.47,106.85,107.17,349719279
109.19,110.8,108.78,110.76,300870473
,,,109.37,0
108.35,109.95,107.37,107.53,277909392
108.08,110.34,107.51,110.33,240243641
110.65,111.06,109.58,110.71,226618259
108.61,109.33,106.46,106.82,398475566
107.2,107.61,105.41,105.49,264609061
105.57,106.83,104.65,106.62,357774294
107.24,108.28,105.6,106.05,268023252
107.86,109.28,106.04,109.15,317890583
108.19,109.75,108.12,109.68,214128107
110.52,111.12,109.4,109.51,207196003
110.28,112.1,110.09,112.0,238268655
111.42,112.42,111.2,111.96,216373918
112.28,112.33,111.05,112.14,263185740
111.83,112.13,111.37,111.73,174006543
113.12,113.2,110.79,111.41,213140636
111.41,111.9,109.41,109.57,239355313
109.64,110.03,108.48,109.23,254698722
108.69,108.83,107.14,107.42,268692053
107.74,108.42,106.77,107.87,238726472
108.03,108.32,107.14,107.53,169333229
106.02,107.51,103.55,104.21,373760407
103.92,104.88,102.88,103.22,284101670
103.15,103.49,101.13,102.76,382924764
,,,102.2,0
103.64,104.37,101.88,102.87,256936431
103.13,106.24,103.02,106.11,253769702
107.0,107.28,105.91,107.16,210842046
107.13,107.97,106.93,107.96,144999850
107.6,108.24,107.15,108.03,131283538
109.15,110.09,108.93,109.66,213025882
109.31,110.08,108.86,109.65,184426719
109.61,110.06,108.17,109.68,232337892
109.09,109.21,106.45,106.66,282693306
107.05,107.63,106.22,107.29,186708979
105.87,108.56,105.82,108.48,258162303
109.04,109.07,106.63,107.07,264526950
108.34,109.94,108.33,109.46,274781292
109.24,110.57,108.93,110.41,222020785
110.6,111.67,110.29,111.56,182126480
112.17,112.29,111.11,111.55,204855535
111.32,111.66,110.46,110.83,163056171
111.52,111.82,109.41,110.29,220149031
109.17,110.86,108.98,110.27,220070531
111.99,112.94,111.54,112.76,188263197
112.48,112.77,111.85,112.22,146657242
112.53,113.11,112.16,112.97,158171627
112.25,112.91,112.08,112.85,140473721
111.74,112.57,110.92,112.39,239728279
112.92,113.18,112.32,112.99,120800381
112.03,112.98,111.37,112.38,242916211
110.65,110.69,109.12,109.3,273408176
107.65,109.02,107.6,108.63,239542543
108.29,108.96,108.18,108.31,158698476
107.57,108.61,107.18,108.26,147895278
109.19,110.39,108.88,109.59,172270222
109.54,110.38,108.91,109.79,182922040
109.22,109.49,107.43,107.88,265847589
107.56,107.94,106.75,107.53,209714149
108.04,108.57,107.07,107.12,163490258
